s,iniziativa,presentazione,approvazione
http://dati.camera.it/ocd/attocamera.rdf/ac17_3765,Governo,20160420,20161206
http://dati.camera.it/ocd/attocamera.rdf/ac17_2236-B,Parlamentare,20161118,20161128
http://dati.camera.it/ocd/attocamera.rdf/ac17_3511,Governo,20151229,20161018
http://dati.camera.it/ocd/attocamera.rdf/ac17_1859,Parlamentare,20131127,20161122
http://dati.camera.it/ocd/attocamera.rdf/ac17_1619,Governo,20130924,20140903
http://dati.camera.it/ocd/attocamera.rdf/ac17_3867,Governo,20160526,20161018
http://dati.camera.it/ocd/attocamera.rdf/ac17_3239,Governo,20150716,20151104
http://dati.camera.it/ocd/attocamera.rdf/ac17_3194,Governo,20150622,20160114
http://dati.camera.it/ocd/attocamera.rdf/ac17_3305,Governo,20150911,20150924
http://dati.camera.it/ocd/attocamera.rdf/ac17_3331,Governo,20150929,20160420
http://dati.camera.it/ocd/attocamera.rdf/ac17_3386,Governo,20151029,20151113
http://dati.camera.it/ocd/attocamera.rdf/ac17_968,Parlamentare,20130516,20130619
http://dati.camera.it/ocd/attocamera.rdf/ac17_3596,Parlamentare,20160209,20171214
http://dati.camera.it/ocd/attocamera.rdf/ac17_3157,Governo,20150603,20150910
http://dati.camera.it/ocd/attocamera.rdf/ac17_3837,Parlamentare,20160517,20171213
http://dati.camera.it/ocd/attocamera.rdf/ac17_4314,Governo,20170221,20170926
http://dati.camera.it/ocd/attocamera.rdf/ac17_3393,Governo,20151030,20151203
http://dati.camera.it/ocd/attocamera.rdf/ac17_3642,Governo,20160226,20160621
http://dati.camera.it/ocd/attocamera.rdf/ac17_3053,Governo,20150416,20150910
http://dati.camera.it/ocd/attocamera.rdf/ac17_2157,Governo,20140305,20140318
http://dati.camera.it/ocd/attocamera.rdf/ac17_3986,Parlamentare,20160720,20171026
http://dati.camera.it/ocd/attocamera.rdf/ac17_2425,Governo,20140529,20150715
http://dati.camera.it/ocd/attocamera.rdf/ac17_2659,Governo,20141009,20150603
http://dati.camera.it/ocd/attocamera.rdf/ac17_3098,Governo,20150504,20150804
http://dati.camera.it/ocd/attocamera.rdf/ac17_2278,Governo,20140403,20140923
http://dati.camera.it/ocd/attocamera.rdf/ac17_1142,Parlamentare,20130604,20171214
http://dati.camera.it/ocd/attocamera.rdf/ac17_3027,Governo,20150409,20151126
http://dati.camera.it/ocd/attocamera.rdf/ac17_1310,Governo,20130704,20130801
http://dati.camera.it/ocd/attocamera.rdf/ac17_3940,Governo,20160628,20160914
http://dati.camera.it/ocd/attocamera.rdf/ac17_3461,Governo,20151126,20160406
http://dati.camera.it/ocd/attocamera.rdf/ac17_1458,Governo,20130801,20130807
http://dati.camera.it/ocd/attocamera.rdf/ac17_4333,Parlamentare,20170224,20171026
http://dati.camera.it/ocd/attocamera.rdf/ac17_3481,Governo,20151209,20160127
http://dati.camera.it/ocd/attocamera.rdf/ac17_2621,Governo,20140904,20141022
http://dati.camera.it/ocd/attocamera.rdf/ac17_4318,Parlamentare,20170222,20171026
http://dati.camera.it/ocd/attocamera.rdf/ac17_2755,Governo,20141126,20150611
http://dati.camera.it/ocd/attocamera.rdf/ac17_1658-B,Parlamentare,20170301,20170329
http://dati.camera.it/ocd/attocamera.rdf/ac17_4310,Governo,20170220,20170412
http://dati.camera.it/ocd/attocamera.rdf/ac17_4039,Governo,20160916,20170504
http://dati.camera.it/ocd/attocamera.rdf/ac17_875,Governo,20130502,20130708
http://dati.camera.it/ocd/attocamera.rdf/ac17_3606,Governo,20160215,20160406
http://dati.camera.it/ocd/attocamera.rdf/ac17_4158,Governo,20161124,20161214
http://dati.camera.it/ocd/attocamera.rdf/ac17_3683,Parlamentare,20160317,20170301
http://dati.camera.it/ocd/attocamera.rdf/ac17_2679-bis-B,Governo,20141220,20141222
http://dati.camera.it/ocd/attocamera.rdf/ac17_2996,Parlamentare,20150330,20171214
http://dati.camera.it/ocd/attocamera.rdf/ac17_1092-B,Parlamentare,20141126,20150604
http://dati.camera.it/ocd/attocamera.rdf/ac17_2710,Governo,20141107,20170112
http://dati.camera.it/ocd/attocamera.rdf/ac17_3329,Governo,20150929,20160628
http://dati.camera.it/ocd/attocamera.rdf/ac17_3828,Parlamentare,20160512,20160728
http://dati.camera.it/ocd/attocamera.rdf/ac17_2344,Parlamentare,20140505,20140806
http://dati.camera.it/ocd/attocamera.rdf/ac17_4008,Governo,20160802,20161018
http://dati.camera.it/ocd/attocamera.rdf/ac17_303-B,Parlamentare,20150709,20150805
http://dati.camera.it/ocd/attocamera.rdf/ac17_2874-B,Parlamentare,20160504,20160608
http://dati.camera.it/ocd/attocamera.rdf/ac17_4113,Parlamentare,20161024,20170125
http://dati.camera.it/ocd/attocamera.rdf/ac17_1247,Governo,20130620,20130731
http://dati.camera.it/ocd/attocamera.rdf/ac17_3445,Governo,20151121,20151222
http://dati.camera.it/ocd/attocamera.rdf/ac17_4102,Parlamentare,20161018,20171205
http://dati.camera.it/ocd/attocamera.rdf/ac17_3772,Parlamentare,20160421,20171221
http://dati.camera.it/ocd/attocamera.rdf/ac17_4272,Parlamentare,20170202,20171026
http://dati.camera.it/ocd/attocamera.rdf/ac17_3953,Governo,20160630,20160706
http://dati.camera.it/ocd/attocamera.rdf/ac17_3944,Governo,20160628,20160914
http://dati.camera.it/ocd/attocamera.rdf/ac17_2915,Governo,20150226,20150319
http://dati.camera.it/ocd/attocamera.rdf/ac17_878,Parlamentare,20130506,20130619
http://dati.camera.it/ocd/attocamera.rdf/ac17_1541,Governo,20130820,20130925
http://dati.camera.it/ocd/attocamera.rdf/ac17_2420,Governo,20140528,20141022
http://dati.camera.it/ocd/attocamera.rdf/ac17_3530,Governo,20160113,20161018
http://dati.camera.it/ocd/attocamera.rdf/ac17_2096,Governo,20140214,20140220
http://dati.camera.it/ocd/attocamera.rdf/ac17_2081,Governo,20140212,20140903
http://dati.camera.it/ocd/attocamera.rdf/ac17_2893,Governo,20150219,20150415
http://dati.camera.it/ocd/attocamera.rdf/ac17_3759,Governo,20160420,20161018
http://dati.camera.it/ocd/attocamera.rdf/ac17_3599,Parlamentare,20160211,20171214
http://dati.camera.it/ocd/attocamera.rdf/ac17_3224-B,Regioni,20160518,20160719
http://dati.camera.it/ocd/attocamera.rdf/ac17_204-B,Parlamentare,20140129,20140416
http://dati.camera.it/ocd/attocamera.rdf/ac17_3299,Governo,20150910,20161206
http://dati.camera.it/ocd/attocamera.rdf/ac17_3766,Governo,20160420,20160914
http://dati.camera.it/ocd/attocamera.rdf/ac17_4227,Governo,20170113,20170927
http://dati.camera.it/ocd/attocamera.rdf/ac17_2213,Parlamentare,20140320,20140409
http://dati.camera.it/ocd/attocamera.rdf/ac17_4280,Governo,20170208,20170216
http://dati.camera.it/ocd/attocamera.rdf/ac17_4565,Governo,20170625,20170727
http://dati.camera.it/ocd/attocamera.rdf/ac17_1533-B,Parlamentare,20161027,20161221
http://dati.camera.it/ocd/attocamera.rdf/ac17_4368,"Mista (Governo, Parlamentare)",20170315,20170614
http://dati.camera.it/ocd/attocamera.rdf/ac17_3237,Parlamentare,20150716,20160802
http://dati.camera.it/ocd/attocamera.rdf/ac17_2721,Parlamentare,20141113,20161122
http://dati.camera.it/ocd/attocamera.rdf/ac17_4079,Governo,20161010,20161027
http://dati.camera.it/ocd/attocamera.rdf/ac17_3462,Governo,20151201,20161018
http://dati.camera.it/ocd/attocamera.rdf/ac17_1573,Governo,20130911,20131001
http://dati.camera.it/ocd/attocamera.rdf/ac17_4595,Governo,20170721,20170728
http://dati.camera.it/ocd/attocamera.rdf/ac17_3119,Governo,20150514,20160706
http://dati.camera.it/ocd/attocamera.rdf/ac17_1682,Governo,20131014,20131029
http://dati.camera.it/ocd/attocamera.rdf/ac17_1572,Governo,20130911,20131001
http://dati.camera.it/ocd/attocamera.rdf/ac17_2802,Governo,20141230,20150910
http://dati.camera.it/ocd/attocamera.rdf/ac17_2264,Parlamentare,20140402,20171214
http://dati.camera.it/ocd/attocamera.rdf/ac17_831-B,Parlamentare,20150318,20150422
http://dati.camera.it/ocd/attocamera.rdf/ac17_3315,Governo,20150921,20151105
http://dati.camera.it/ocd/attocamera.rdf/ac17_2149,Governo,20140228,20140313
http://dati.camera.it/ocd/attocamera.rdf/ac17_3970,Parlamentare,20160708,20171214
http://dati.camera.it/ocd/attocamera.rdf/ac17_3262,Governo,20150729,20150804
http://dati.camera.it/ocd/attocamera.rdf/ac17_482,Parlamentare,20130322,20130718
http://dati.camera.it/ocd/attocamera.rdf/ac17_3340,Governo,20151001,20151125
http://dati.camera.it/ocd/attocamera.rdf/ac17_2352,Parlamentare,20140506,20171026
http://dati.camera.it/ocd/attocamera.rdf/ac17_3155,Governo,20150603,20150915
http://dati.camera.it/ocd/attocamera.rdf/ac17_1797,Parlamentare,20131112,20161122
http://dati.camera.it/ocd/attocamera.rdf/ac17_55-B,Parlamentare,20170524,20170713
http://dati.camera.it/ocd/attocamera.rdf/ac17_3249,Governo,20150723,20150730
http://dati.camera.it/ocd/attocamera.rdf/ac17_4109,Governo,20161020,20170329
http://dati.camera.it/ocd/attocamera.rdf/ac17_3134,Governo,20150521,20150715
http://dati.camera.it/ocd/attocamera.rdf/ac17_1298,Parlamentare,20130703,20171214
http://dati.camera.it/ocd/attocamera.rdf/ac17_3223,Parlamentare,20150708,20171026
http://dati.camera.it/ocd/attocamera.rdf/ac17_4465,Governo,20170505,20171121
http://dati.camera.it/ocd/attocamera.rdf/ac17_3946,Governo,20160628,20170110
http://dati.camera.it/ocd/attocamera.rdf/ac17_2162,Governo,20140306,20140430
http://dati.camera.it/ocd/attocamera.rdf/ac17_2738,Parlamentare,20141120,20150224
http://dati.camera.it/ocd/attocamera.rdf/ac17_2796,Governo,20141223,20151126
http://dati.camera.it/ocd/attocamera.rdf/ac17_4684,Governo,20171006,20171122
http://dati.camera.it/ocd/attocamera.rdf/ac17_2305,Parlamentare,20140416,20171221
http://dati.camera.it/ocd/attocamera.rdf/ac17_940,Parlamentare,20130514,20130619
http://dati.camera.it/ocd/attocamera.rdf/ac17_3332,Governo,20150929,20161018
http://dati.camera.it/ocd/attocamera.rdf/ac17_3960,Parlamentare,20160701,20171222
http://dati.camera.it/ocd/attocamera.rdf/ac17_2753,Governo,20141126,20150415
http://dati.camera.it/ocd/attocamera.rdf/ac17_1923,Governo,20131230,20150204
http://dati.camera.it/ocd/attocamera.rdf/ac17_2690,Parlamentare,20141029,20171026
http://dati.camera.it/ocd/attocamera.rdf/ac17_4686,Governo,20171006,20171121
http://dati.camera.it/ocd/attocamera.rdf/ac17_4638,Governo,20170914,20170928
http://dati.camera.it/ocd/attocamera.rdf/ac17_1248-B,Governo,20130808,20130809
http://dati.camera.it/ocd/attocamera.rdf/ac17_3008,Parlamentare,20150402,20150521
http://dati.camera.it/ocd/attocamera.rdf/ac17_3561,Parlamentare,20160127,20171214
http://dati.camera.it/ocd/attocamera.rdf/ac17_3163,Parlamentare,20150608,20160802
http://dati.camera.it/ocd/attocamera.rdf/ac17_2277,Governo,20140403,20141022
http://dati.camera.it/ocd/attocamera.rdf/ac17_727,Parlamentare,20130411,20141001
http://dati.camera.it/ocd/attocamera.rdf/ac17_1012,Governo,20130521,20130717
http://dati.camera.it/ocd/attocamera.rdf/ac17_3594,Governo,20160208,20170309
http://dati.camera.it/ocd/attocamera.rdf/ac17_2616,Governo,20140822,20141015
http://dati.camera.it/ocd/attocamera.rdf/ac17_2019,Parlamentare,20140130,20171207
http://dati.camera.it/ocd/attocamera.rdf/ac17_4177,Parlamentare,20161216,20171026
http://dati.camera.it/ocd/attocamera.rdf/ac17_2087,Governo,20140212,20150204
http://dati.camera.it/ocd/attocamera.rdf/ac17_3187,Parlamentare,20150618,20170628
http://dati.camera.it/ocd/attocamera.rdf/ac17_2447,Governo,20140611,20140624
http://dati.camera.it/ocd/attocamera.rdf/ac17_2079,Governo,20140212,20141118
http://dati.camera.it/ocd/attocamera.rdf/ac17_3269,Governo,20150731,20161018
http://dati.camera.it/ocd/attocamera.rdf/ac17_1014,Parlamentare,20130521,20141001
http://dati.camera.it/ocd/attocamera.rdf/ac17_2422,Parlamentare,20140528,20141023
http://dati.camera.it/ocd/attocamera.rdf/ac17_4470,Governo,20170505,20171122
http://dati.camera.it/ocd/attocamera.rdf/ac17_4639,Governo,20170914,20170928
http://dati.camera.it/ocd/attocamera.rdf/ac17_3671-bis,Governo,20160518,20171011
http://dati.camera.it/ocd/attocamera.rdf/ac17_1271,Parlamentare,20130626,20130925
http://dati.camera.it/ocd/attocamera.rdf/ac17_3209,Parlamentare,20150703,20160705
http://dati.camera.it/ocd/attocamera.rdf/ac17_1326,Governo,20130709,20130731
http://dati.camera.it/ocd/attocamera.rdf/ac17_3330,Governo,20150929,20161115
http://dati.camera.it/ocd/attocamera.rdf/ac17_3651,Parlamentare,20160302,20161115
http://dati.camera.it/ocd/attocamera.rdf/ac17_3191,Parlamentare,20150622,20160802
http://dati.camera.it/ocd/attocamera.rdf/ac17_3459,Governo,20151126,20160406
http://dati.camera.it/ocd/attocamera.rdf/ac17_4183,Parlamentare,20161221,20171026
http://dati.camera.it/ocd/attocamera.rdf/ac17_3945,Governo,20160628,20161206
http://dati.camera.it/ocd/attocamera.rdf/ac17_1710,Governo,20131017,20131205
http://dati.camera.it/ocd/attocamera.rdf/ac17_3500,Parlamentare,20151216,20171221
http://dati.camera.it/ocd/attocamera.rdf/ac17_4444,Governo,20170424,20170615
http://dati.camera.it/ocd/attocamera.rdf/ac17_1927,Governo,20140107,20140625
http://dati.camera.it/ocd/attocamera.rdf/ac17_3974,Governo,20160711,20161005
http://dati.camera.it/ocd/attocamera.rdf/ac17_1589-B,Governo,20150311,20150611
http://dati.camera.it/ocd/attocamera.rdf/ac17_2279,Governo,20140403,20141218
http://dati.camera.it/ocd/attocamera.rdf/ac17_4068,Parlamentare,20161003,20171026
http://dati.camera.it/ocd/attocamera.rdf/ac17_2276,Governo,20140403,20141218
http://dati.camera.it/ocd/attocamera.rdf/ac17_3303-B,Governo,20160628,20160719
http://dati.camera.it/ocd/attocamera.rdf/ac17_4323,Parlamentare,20170223,20171026
http://dati.camera.it/ocd/attocamera.rdf/ac17_2994-B,Governo,20150626,20150709
http://dati.camera.it/ocd/attocamera.rdf/ac17_4096,Parlamentare,20161013,20171003
http://dati.camera.it/ocd/attocamera.rdf/ac17_4284,Parlamentare,20170208,20171026
http://dati.camera.it/ocd/attocamera.rdf/ac17_1363,Parlamentare,20130716,20140327
http://dati.camera.it/ocd/attocamera.rdf/ac17_1949,Parlamentare,20140114,20160114
http://dati.camera.it/ocd/attocamera.rdf/ac17_4330,Parlamentare,20170224,20171026
http://dati.camera.it/ocd/attocamera.rdf/ac17_2515,Governo,20140703,20150603
http://dati.camera.it/ocd/attocamera.rdf/ac17_331-B,Parlamentare,20140123,20140402
http://dati.camera.it/ocd/attocamera.rdf/ac17_3238,Governo,20150716,20151104
http://dati.camera.it/ocd/attocamera.rdf/ac17_2215,Governo,20140321,20140514
http://dati.camera.it/ocd/attocamera.rdf/ac17_3954,Governo,20160630,20160803
http://dati.camera.it/ocd/attocamera.rdf/ac17_3302,Governo,20150910,20160330
http://dati.camera.it/ocd/attocamera.rdf/ac17_3169-B,Parlamentare,20151210,20160302
http://dati.camera.it/ocd/attocamera.rdf/ac17_2572,Parlamentare,20140728,20171205
http://dati.camera.it/ocd/attocamera.rdf/ac17_3248,Parlamentare,20150722,20160802
http://dati.camera.it/ocd/attocamera.rdf/ac17_1328,Governo,20130709,20130912
http://dati.camera.it/ocd/attocamera.rdf/ac17_4108,Governo,20161020,20170110
http://dati.camera.it/ocd/attocamera.rdf/ac17_2373,Governo,20140514,20140520
http://dati.camera.it/ocd/attocamera.rdf/ac17_3-bis-B,,20150128,20150504
http://dati.camera.it/ocd/attocamera.rdf/ac17_1803,Parlamentare,20131113,20160316
http://dati.camera.it/ocd/attocamera.rdf/ac17_2674,Governo,20141016,20150715
http://dati.camera.it/ocd/attocamera.rdf/ac17_3272,Governo,20150803,20151222
http://dati.camera.it/ocd/attocamera.rdf/ac17_4363,Parlamentare,20170313,20171026
http://dati.camera.it/ocd/attocamera.rdf/ac17_1866,Governo,20131129,20131223
http://dati.camera.it/ocd/attocamera.rdf/ac17_3059,Governo,20150421,20150506
http://dati.camera.it/ocd/attocamera.rdf/ac17_3449,Governo,20151125,20151126
http://dati.camera.it/ocd/attocamera.rdf/ac17_887,Parlamentare,20130507,20130718
http://dati.camera.it/ocd/attocamera.rdf/ac17_2168-B,Parlamentare,20170519,20170705
http://dati.camera.it/ocd/attocamera.rdf/ac17_2957,Parlamentare,20150312,20151014
http://dati.camera.it/ocd/attocamera.rdf/ac17_68-B,Parlamentare,20160519,20160615
http://dati.camera.it/ocd/attocamera.rdf/ac17_3057,Parlamentare,20150417,20160802
http://dati.camera.it/ocd/attocamera.rdf/ac17_1921,Governo,20131223,20140219
http://dati.camera.it/ocd/attocamera.rdf/ac17_4468,Governo,20170505,20171121
http://dati.camera.it/ocd/attocamera.rdf/ac17_1628,Governo,20130926,20131003
http://dati.camera.it/ocd/attocamera.rdf/ac17_3767,Governo,20160420,20160719
http://dati.camera.it/ocd/attocamera.rdf/ac17_4088,Parlamentare,20161012,20171026
http://dati.camera.it/ocd/attocamera.rdf/ac17_4286,Governo,20170209,20170405
http://dati.camera.it/ocd/attocamera.rdf/ac17_3943,Governo,20160628,20160914
http://dati.camera.it/ocd/attocamera.rdf/ac17_2004,Parlamentare,20140127,20161115
http://dati.camera.it/ocd/attocamera.rdf/ac17_2086,Governo,20140212,20150415
http://dati.camera.it/ocd/attocamera.rdf/ac17_1941,Governo,20140110,20140129
http://dati.camera.it/ocd/attocamera.rdf/ac17_2714,Governo,20141110,20171004
http://dati.camera.it/ocd/attocamera.rdf/ac17_2894,Governo,20150219,20150303
http://dati.camera.it/ocd/attocamera.rdf/ac17_3304,Governo,20150911,20150924
http://dati.camera.it/ocd/attocamera.rdf/ac17_348-B,Parlamentare,20151022,20151119
http://dati.camera.it/ocd/attocamera.rdf/ac17_2099,Governo,20140214,20140903
http://dati.camera.it/ocd/attocamera.rdf/ac17_2756,Governo,20141126,20150415
http://dati.camera.it/ocd/attocamera.rdf/ac17_2620,Governo,20140904,20150915
http://dati.camera.it/ocd/attocamera.rdf/ac17_4653,Parlamentare,20170921,20171122
http://dati.camera.it/ocd/attocamera.rdf/ac17_2575,Governo,20140728,20150603
http://dati.camera.it/ocd/attocamera.rdf/ac17_1924,Governo,20131230,20151126
http://dati.camera.it/ocd/attocamera.rdf/ac17_4741,Governo,20171117,20171130
http://dati.camera.it/ocd/attocamera.rdf/ac17_2722,Governo,20141113,20150923
http://dati.camera.it/ocd/attocamera.rdf/ac17_3297,Parlamentare,20150909,20160203
http://dati.camera.it/ocd/attocamera.rdf/ac17_2799,Parlamentare,20141223,20151014
http://dati.camera.it/ocd/attocamera.rdf/ac17_4135,Governo,20161103,20170510
http://dati.camera.it/ocd/attocamera.rdf/ac17_2229,Parlamentare,20140326,20171214
http://dati.camera.it/ocd/attocamera.rdf/ac17_4394,Governo,20170329,20170412
http://dati.camera.it/ocd/attocamera.rdf/ac17_2754,Governo,20141126,20150611
http://dati.camera.it/ocd/attocamera.rdf/ac17_4526,Parlamentare,20170601,20171222
http://dati.camera.it/ocd/attocamera.rdf/ac17_841,Governo,20130423,20130708
http://dati.camera.it/ocd/attocamera.rdf/ac17_2272,Governo,20140403,20140716
http://dati.camera.it/ocd/attocamera.rdf/ac17_362-B,Parlamentare,20140618,20140625
http://dati.camera.it/ocd/attocamera.rdf/ac17_2987,Parlamentare,20150325,20161122
http://dati.camera.it/ocd/attocamera.rdf/ac17_3012-B,Governo,20170505,20170802
http://dati.camera.it/ocd/attocamera.rdf/ac17_282-B,Parlamentare,20140205,20140227
http://dati.camera.it/ocd/attocamera.rdf/ac17_1670,Governo,20131010,20131205
http://dati.camera.it/ocd/attocamera.rdf/ac17_2090,Governo,20140212,20150603
http://dati.camera.it/ocd/attocamera.rdf/ac17_65,Parlamentare,20130315,20170928
http://dati.camera.it/ocd/attocamera.rdf/ac17_3104,Governo,20150506,20150702
http://dati.camera.it/ocd/attocamera.rdf/ac17_2295,Parlamentare,20140409,20141218
http://dati.camera.it/ocd/attocamera.rdf/ac17_3274,Parlamentare,20150804,20160802
http://dati.camera.it/ocd/attocamera.rdf/ac17_2284,Parlamentare,20140404,20170928
http://dati.camera.it/ocd/attocamera.rdf/ac17_1417,Governo,20130725,20130808
http://dati.camera.it/ocd/attocamera.rdf/ac17_4439,Parlamentare,20170419,20170622
http://dati.camera.it/ocd/attocamera.rdf/ac17_3300,Governo,20150910,20160315
http://dati.camera.it/ocd/attocamera.rdf/ac17_2937,Parlamentare,20150305,20161123
http://dati.camera.it/ocd/attocamera.rdf/ac17_3199,Governo,20150624,20161115
http://dati.camera.it/ocd/attocamera.rdf/ac17_3317-B,Parlamentare,20160915,20161004
http://dati.camera.it/ocd/attocamera.rdf/ac17_1690,Governo,20131015,20131211
http://dati.camera.it/ocd/attocamera.rdf/ac17_3630,Parlamentare,20160224,20171214
http://dati.camera.it/ocd/attocamera.rdf/ac17_3886,Governo,20160609,20160727
http://dati.camera.it/ocd/attocamera.rdf/ac17_4025,Governo,20160831,20161019
http://dati.camera.it/ocd/attocamera.rdf/ac17_3976,Governo,20160713,20160802
http://dati.camera.it/ocd/attocamera.rdf/ac17_631-B,Parlamentare,20140403,20150409
http://dati.camera.it/ocd/attocamera.rdf/ac17_3947,Governo,20160628,20161206
http://dati.camera.it/ocd/attocamera.rdf/ac17_4601,Governo,20170727,20170801
http://dati.camera.it/ocd/attocamera.rdf/ac17_1752,Parlamentare,20131030,20150319
http://dati.camera.it/ocd/attocamera.rdf/ac17_4262,Parlamentare,20170131,20171026
http://dati.camera.it/ocd/attocamera.rdf/ac17_3156,Governo,20150603,20160315
http://dati.camera.it/ocd/attocamera.rdf/ac17_387,Parlamentare,20130321,20141001
http://dati.camera.it/ocd/attocamera.rdf/ac17_4092,Parlamentare,20161013,20171026
http://dati.camera.it/ocd/attocamera.rdf/ac17_3540,Governo,20160118,20160728
http://dati.camera.it/ocd/attocamera.rdf/ac17_4224,Governo,20170113,20170927
http://dati.camera.it/ocd/attocamera.rdf/ac17_4226,Governo,20170113,20170502
http://dati.camera.it/ocd/attocamera.rdf/ac17_1540,Governo,20130816,20131011
http://dati.camera.it/ocd/attocamera.rdf/ac17_2577,Governo,20140728,20150603
http://dati.camera.it/ocd/attocamera.rdf/ac17_2568,Governo,20140728,20140807
http://dati.camera.it/ocd/attocamera.rdf/ac17_4620,Governo,20170803,20171017
http://dati.camera.it/ocd/attocamera.rdf/ac17_1460-B,Parlamentare,20160426,20160713
http://dati.camera.it/ocd/attocamera.rdf/ac17_1239,Parlamentare,20130620,20130925
http://dati.camera.it/ocd/attocamera.rdf/ac17_4464,Governo,20170505,20171115
http://dati.camera.it/ocd/attocamera.rdf/ac17_4410,Parlamentare,20170405,20170621
http://dati.camera.it/ocd/attocamera.rdf/ac17_4309,Parlamentare,20170217,20171026
http://dati.camera.it/ocd/attocamera.rdf/ac17_4462,Governo,20170505,20171115
http://dati.camera.it/ocd/attocamera.rdf/ac17_2208-B,Governo,20140507,20140515
http://dati.camera.it/ocd/attocamera.rdf/ac17_1432,Parlamentare,20130726,20171214
http://dati.camera.it/ocd/attocamera.rdf/ac17_3365-B,Parlamentare,20171018,20171115
http://dati.camera.it/ocd/attocamera.rdf/ac17_3056,Governo,20150416,20150915
http://dati.camera.it/ocd/attocamera.rdf/ac17_3973,Governo,20160711,20161005
http://dati.camera.it/ocd/attocamera.rdf/ac17_3504,Parlamentare,20151218,20160804
http://dati.camera.it/ocd/attocamera.rdf/ac17_4273,Parlamentare,20170202,20171026
http://dati.camera.it/ocd/attocamera.rdf/ac17_2629,Governo,20140912,20141105
http://dati.camera.it/ocd/attocamera.rdf/ac17_1139,Governo,20130604,20130801
http://dati.camera.it/ocd/attocamera.rdf/ac17_2800,Governo,20141230,20161115
http://dati.camera.it/ocd/attocamera.rdf/ac17_4522,Parlamentare,20170531,20171026
http://dati.camera.it/ocd/attocamera.rdf/ac17_2511,Governo,20140702,20150422
http://dati.camera.it/ocd/attocamera.rdf/ac17_1920,Governo,20131223,20140219
http://dati.camera.it/ocd/attocamera.rdf/ac17_1574,Governo,20130912,20131107
http://dati.camera.it/ocd/attocamera.rdf/ac17_2541,Governo,20140715,20140924
