s,iniziativa,presentazione,approvazione
http://dati.camera.it/ocd/attocamera.rdf/ac17_2083,Governo,20140212,20141126
http://dati.camera.it/ocd/attocamera.rdf/ac17_1178,Parlamentare,20130610,20170802
http://dati.camera.it/ocd/attocamera.rdf/ac17_4128,Parlamentare,20161102,20171026
http://dati.camera.it/ocd/attocamera.rdf/ac17_1843,Parlamentare,20131125,20140528
http://dati.camera.it/ocd/attocamera.rdf/ac17_2962,Parlamentare,20150317,20171207
http://dati.camera.it/ocd/attocamera.rdf/ac17_1373,Parlamentare,20130717,20161122
http://dati.camera.it/ocd/attocamera.rdf/ac17_3240,Governo,20150716,20151104
http://dati.camera.it/ocd/attocamera.rdf/ac17_1865,Governo,20131129,20131223
http://dati.camera.it/ocd/attocamera.rdf/ac17_4373,Governo,20170317,20170419
http://dati.camera.it/ocd/attocamera.rdf/ac17_698-B,Parlamentare,20160526,20160614
http://dati.camera.it/ocd/attocamera.rdf/ac17_3586,Parlamentare,20160204,20171214
http://dati.camera.it/ocd/attocamera.rdf/ac17_2981,Governo,20150320,20160628
http://dati.camera.it/ocd/attocamera.rdf/ac17_2270,Governo,20140403,20150304
http://dati.camera.it/ocd/attocamera.rdf/ac17_2309,Governo,20140417,20140507
http://dati.camera.it/ocd/attocamera.rdf/ac17_4287,Parlamentare,20170209,20171026
http://dati.camera.it/ocd/attocamera.rdf/ac17_3055,Governo,20150416,20150729
http://dati.camera.it/ocd/attocamera.rdf/ac17_1336,Parlamentare,20130709,20141001
http://dati.camera.it/ocd/attocamera.rdf/ac17_118,Parlamentare,20130315,20130619
http://dati.camera.it/ocd/attocamera.rdf/ac17_45-B,Parlamentare,20160310,20160714
http://dati.camera.it/ocd/attocamera.rdf/ac17_4142,Parlamentare,20161109,20171026
http://dati.camera.it/ocd/attocamera.rdf/ac17_1864-B,Governo,20140918,20141021
http://dati.camera.it/ocd/attocamera.rdf/ac17_3139-B,Parlamentare,20170201,20170517
http://dati.camera.it/ocd/attocamera.rdf/ac17_2576,Governo,20140728,20150603
http://dati.camera.it/ocd/attocamera.rdf/ac17_2274,Governo,20140403,20140918
http://dati.camera.it/ocd/attocamera.rdf/ac17_2598,Governo,20140804,20140925
http://dati.camera.it/ocd/attocamera.rdf/ac17_2280,Governo,20140403,20140612
http://dati.camera.it/ocd/attocamera.rdf/ac17_2542,Governo,20140715,20140924
http://dati.camera.it/ocd/attocamera.rdf/ac17_3868,Governo,20160526,20171222
http://dati.camera.it/ocd/attocamera.rdf/ac17_3822,Governo,20160512,20160525
http://dati.camera.it/ocd/attocamera.rdf/ac17_3512,Governo,20151229,20160413
http://dati.camera.it/ocd/attocamera.rdf/ac17_4768,Governo,20171201,20171223
http://dati.camera.it/ocd/attocamera.rdf/ac17_2426,Governo,20140531,20140728
http://dati.camera.it/ocd/attocamera.rdf/ac17_2421,Governo,20140528,20141022
http://dati.camera.it/ocd/attocamera.rdf/ac17_4463,Governo,20170505,20171115
http://dati.camera.it/ocd/attocamera.rdf/ac17_2985,Parlamentare,20150324,20150805
http://dati.camera.it/ocd/attocamera.rdf/ac17_1309,Governo,20130703,20140409
http://dati.camera.it/ocd/attocamera.rdf/ac17_4327,Parlamentare,20170223,20171026
http://dati.camera.it/ocd/attocamera.rdf/ac17_2486-B,Governo,20140805,20140807
