s,iniziativa,presentazione,approvazione
http://dati.camera.it/ocd/attocamera.rdf/ac18_1309,,20181025,20190328
http://dati.camera.it/ocd/attocamera.rdf/ac18_2786,Governo,20201116,20210526
http://dati.camera.it/ocd/attocamera.rdf/ac18_1771,Governo,20190410,20200527
http://dati.camera.it/ocd/attocamera.rdf/ac18_1389,Parlamentare,20181121,20190109
http://dati.camera.it/ocd/attocamera.rdf/ac18_3353-B,Popolare,20220428,20220728
http://dati.camera.it/ocd/attocamera.rdf/ac18_3702,Governo,20220729,20220803
http://dati.camera.it/ocd/attocamera.rdf/ac18_2152,Parlamentare,20191008,20200220
http://dati.camera.it/ocd/attocamera.rdf/ac18_3269,Governo,20210823,20211014
http://dati.camera.it/ocd/attocamera.rdf/ac18_3441,Governo,20220112,20220705
http://dati.camera.it/ocd/attocamera.rdf/ac18_1511-B,Parlamentare,20200922,20210708
http://dati.camera.it/ocd/attocamera.rdf/ac18_2522,Governo,20200527,20210323
http://dati.camera.it/ocd/attocamera.rdf/ac18_791,Parlamentare,20180626,20190403
http://dati.camera.it/ocd/attocamera.rdf/ac18_2727,Governo,20201021,20201218
http://dati.camera.it/ocd/attocamera.rdf/ac18_3318,Governo,20211013,20220705
http://dati.camera.it/ocd/attocamera.rdf/ac18_1675,Parlamentare,20190313,20211026
http://dati.camera.it/ocd/attocamera.rdf/ac18_1320,Parlamentare,20181030,20211026
http://dati.camera.it/ocd/attocamera.rdf/ac18_2451,Parlamentare,20200327,20210318
http://dati.camera.it/ocd/attocamera.rdf/ac18_2681,Governo,20200928,20220616
http://dati.camera.it/ocd/attocamera.rdf/ac18_651,Parlamentare,20180522,20180925
http://dati.camera.it/ocd/attocamera.rdf/ac18_3258,Governo,20210805,20210923
http://dati.camera.it/ocd/attocamera.rdf/ac18_1555,Parlamentare,20190130,20190801
http://dati.camera.it/ocd/attocamera.rdf/ac18_3072,Governo,20210429,20210512
http://dati.camera.it/ocd/attocamera.rdf/ac18_1540,Governo,20190124,20190711
http://dati.camera.it/ocd/attocamera.rdf/ac18_1624,Governo,20190221,20200708
http://dati.camera.it/ocd/attocamera.rdf/ac18_3161,Governo,20210614,20210803
http://dati.camera.it/ocd/attocamera.rdf/ac18_1625,Governo,20190221,20200527
http://dati.camera.it/ocd/attocamera.rdf/ac18_2806,Governo,20201127,20220705
http://dati.camera.it/ocd/attocamera.rdf/ac18_3166,Governo,20210618,20210630
http://dati.camera.it/ocd/attocamera.rdf/ac18_1789,Governo,20190418,20190513
http://dati.camera.it/ocd/attocamera.rdf/ac18_1709,Parlamentare,20190327,20190801
http://dati.camera.it/ocd/attocamera.rdf/ac18_513,Parlamentare,20180416,20180731
http://dati.camera.it/ocd/attocamera.rdf/ac18_2757,Governo,20201029,20210420
http://dati.camera.it/ocd/attocamera.rdf/ac18_2835,Governo,20201218,20210127
http://dati.camera.it/ocd/attocamera.rdf/ac18_2119,Governo,20190925,20200930
http://dati.camera.it/ocd/attocamera.rdf/ac18_3002,Governo,20210408,20210429
http://dati.camera.it/ocd/attocamera.rdf/ac18_1925,CNEL,20190619,20211026
http://dati.camera.it/ocd/attocamera.rdf/ac18_1913,Governo,20190614,20190805
http://dati.camera.it/ocd/attocamera.rdf/ac18_2338,Parlamentare,20200115,20211026
http://dati.camera.it/ocd/attocamera.rdf/ac18_1660,Governo,20190311,20191016
http://dati.camera.it/ocd/attocamera.rdf/ac18_2117,Governo,20190925,20200805
http://dati.camera.it/ocd/attocamera.rdf/ac18_2123,Governo,20190925,20200930
http://dati.camera.it/ocd/attocamera.rdf/ac18_2107,Governo,20190925,20191002
http://dati.camera.it/ocd/attocamera.rdf/ac18_1962,Governo,20190705,20200708
